n,F/P,P/F,A/F,A/P,F/A,P/A,A/G,P/G,n_1,interest_rate
1.0,1.003,0.9975,1.0,1.0025,1.0,0.998,0.0,0.0,1.0,0.25
2.0,1.005,0.995,0.4994,0.5019,2.003,1.993,0.504,1.005,2.0,0.25
3.0,1.008,0.9925,0.3325,0.335,3.008,2.985,1.005,2.999,3.0,0.25
4.0,1.01,0.9901,0.2491,0.2516,4.015,3.975,1.501,5.966,4.0,0.25
5.0,1.013,0.9876,0.199,0.2015,5.025,4.963,1.998,9.916,5.0,0.25
6.0,1.015,0.9851,0.1656,0.1681,6.038,5.948,2.498,14.861,6.0,0.25
7.0,1.018,0.9827,0.1418,0.1443,7.053,6.931,2.995,20.755,7.0,0.25
8.0,1.02,0.9802,0.1239,0.1264,8.07,7.911,3.49,27.611,8.0,0.25
9.0,1.023,0.9778,0.11,0.1125,9.091,8.889,3.987,35.44,9.0,0.25
10.0,1.025,0.9753,0.0989,0.1014,10.113,9.864,4.483,44.216,10.0,0.25
11.0,1.028,0.9729,0.0898,0.0923,11.139,10.837,4.978,53.95,11.0,0.25
12.0,1.03,0.9705,0.0822,0.0847,12.167,11.807,5.474,64.634,12.0,0.25
13.0,1.033,0.9681,0.0758,0.0783,13.197,12.775,5.968,76.244,13.0,0.25
14.0,1.036,0.9656,0.0703,0.0728,14.23,13.741,6.464,88.826,14.0,0.25
15.0,1.038,0.9632,0.0655,0.068,15.266,14.704,6.957,102.301,15.0,0.25
16.0,1.041,0.9608,0.0613,0.0638,16.304,15.665,7.451,116.716,16.0,0.25
17.0,1.043,0.9584,0.0577,0.0602,17.344,16.624,7.944,132.063,17.0,0.25
18.0,1.046,0.9561,0.0544,0.0569,18.388,17.58,8.437,148.319,18.0,0.25
19.0,1.049,0.9537,0.0515,0.054,19.434,18.533,8.929,165.492,19.0,0.25
20.0,1.051,0.9513,0.0488,0.0513,20.482,19.485,9.421,183.559,20.0,0.25
21.0,1.054,0.9489,0.0464,0.0489,21.534,20.434,9.912,202.531,21.0,0.25
22.0,1.056,0.9465,0.0443,0.0468,22.587,21.38,10.404,222.435,22.0,0.25
23.0,1.059,0.9442,0.0423,0.0448,23.644,22.324,10.894,243.212,23.0,0.25
24.0,1.062,0.9418,0.0405,0.043,24.703,23.266,11.384,264.854,24.0,0.25
25.0,1.064,0.9395,0.0388,0.0413,25.765,24.206,11.874,287.407,25.0,0.25
26.0,1.067,0.9371,0.0373,0.0398,26.829,25.143,12.363,310.848,26.0,0.25
27.0,1.07,0.9348,0.0358,0.0383,27.896,26.078,12.852,335.15,27.0,0.25
28.0,1.072,0.9325,0.0345,0.037,28.966,27.01,13.341,360.343,28.0,0.25
29.0,1.075,0.9301,0.0333,0.0358,30.038,27.94,13.828,386.366,29.0,0.25
30.0,1.078,0.9278,0.0321,0.0346,31.114,28.868,14.317,413.302,30.0,0.25
36.0,1.094,0.914,0.0266,0.0291,37.621,34.387,17.234,592.632,36.0,0.25
40.0,1.105,0.9049,0.0238,0.0263,42.014,38.02,19.171,728.882,40.0,0.25
48.0,1.127,0.8871,0.0196,0.0221,50.932,45.179,23.025,1040.22,48.0,0.25
50.0,1.133,0.8826,0.0188,0.0213,53.189,46.947,23.984,1125.96,50.0,0.25
52.0,1.139,0.8782,0.018,0.0205,55.458,48.705,24.941,1214.76,52.0,0.25
60.0,1.162,0.8609,0.0155,0.018,64.647,55.653,28.755,1600.31,60.0,0.25
70.0,1.191,0.8396,0.0131,0.0156,76.395,64.144,33.485,2147.87,70.0,0.25
72.0,1.197,0.8355,0.0127,0.0152,78.78,65.817,34.426,2265.81,72.0,0.25
80.0,1.221,0.8189,0.0113,0.0138,88.44,72.427,38.173,2764.74,80.0,0.25
84.0,1.233,0.8108,0.0107,0.0132,93.343,75.682,40.037,3030.06,84.0,0.25
90.0,1.252,0.7987,0.00992,0.0124,100.789,80.504,42.82,3447.19,90.0,0.25
96.0,1.271,0.7869,0.00923,0.0117,108.349,85.255,45.588,3886.62,96.0,0.25
100.0,1.284,0.779,0.00881,0.0113,113.451,88.383,47.425,4191.6,100.0,0.25
1.0,1.005,0.995,1.0,1.005,1.0,0.995,0.0,0.0,1.0,0.5
2.0,1.01,0.9901,0.4988,0.5038,2.005,1.985,0.499,0.991,2.0,0.5
3.0,1.015,0.9851,0.3317,0.3367,3.015,2.97,0.996,2.959,3.0,0.5
4.0,1.02,0.9802,0.2481,0.2531,4.03,3.951,1.494,5.903,4.0,0.5
5.0,1.025,0.9754,0.198,0.203,5.05,4.926,1.99,9.803,5.0,0.5
6.0,1.03,0.9705,0.1646,0.1696,6.076,5.896,2.486,14.66,6.0,0.5
7.0,1.036,0.9657,0.1407,0.1457,7.106,6.862,2.98,20.448,7.0,0.5
8.0,1.041,0.9609,0.1228,0.1278,8.141,7.823,3.474,27.178,8.0,0.5
9.0,1.046,0.9561,0.1089,0.1139,9.182,8.779,3.967,34.825,9.0,0.5
10.0,1.051,0.9513,0.0978,0.1028,10.228,9.73,4.459,43.389,10.0,0.5
11.0,1.056,0.9466,0.0887,0.0937,11.279,10.677,4.95,52.855,11.0,0.5
12.0,1.062,0.9419,0.0811,0.0861,12.336,11.619,5.441,63.218,12.0,0.5
13.0,1.067,0.9372,0.0746,0.0796,13.397,12.556,5.931,74.465,13.0,0.5
14.0,1.072,0.9326,0.0691,0.0741,14.464,13.489,6.419,86.59,14.0,0.5
15.0,1.078,0.9279,0.0644,0.0694,15.537,14.417,6.907,99.574,15.0,0.5
16.0,1.083,0.9233,0.0602,0.0652,16.614,15.34,7.394,113.427,16.0,0.5
17.0,1.088,0.9187,0.0565,0.0615,17.697,16.259,7.88,128.125,17.0,0.5
18.0,1.094,0.9141,0.0532,0.0582,18.786,17.173,8.366,143.668,18.0,0.5
19.0,1.099,0.9096,0.0503,0.0553,19.88,18.082,8.85,160.037,19.0,0.5
20.0,1.105,0.9051,0.0477,0.0527,20.979,18.987,9.334,177.237,20.0,0.5
21.0,1.11,0.9006,0.0453,0.0503,22.084,19.888,9.817,195.245,21.0,0.5
22.0,1.116,0.8961,0.0431,0.0481,23.194,20.784,10.3,214.07,22.0,0.5
23.0,1.122,0.8916,0.0411,0.0461,24.31,21.676,10.781,233.68,23.0,0.5
24.0,1.127,0.8872,0.0393,0.0443,25.432,22.563,11.261,254.088,24.0,0.5
25.0,1.133,0.8828,0.0377,0.0427,26.559,23.446,11.741,275.273,25.0,0.5
26.0,1.138,0.8784,0.0361,0.0411,27.692,24.324,12.22,297.233,26.0,0.5
27.0,1.144,0.874,0.0347,0.0397,28.83,25.198,12.698,319.955,27.0,0.5
28.0,1.15,0.8697,0.0334,0.0384,29.975,26.068,13.175,343.439,28.0,0.5
29.0,1.156,0.8653,0.0321,0.0371,31.124,26.933,13.651,367.672,29.0,0.5
30.0,1.161,0.861,0.031,0.036,32.28,27.794,14.127,392.64,30.0,0.5
36.0,1.197,0.8356,0.0254,0.0304,39.336,32.871,16.962,557.564,36.0,0.5
40.0,1.221,0.8191,0.0226,0.0276,44.159,36.172,18.836,681.341,40.0,0.5
48.0,1.27,0.7871,0.0185,0.0235,54.098,42.58,22.544,959.928,48.0,0.5
50.0,1.283,0.7793,0.0177,0.0227,56.645,44.143,23.463,1035.7,50.0,0.5
52.0,1.296,0.7716,0.0169,0.0219,59.218,45.69,24.378,1113.82,52.0,0.5
60.0,1.349,0.7414,0.0143,0.0193,69.77,51.726,28.007,1448.65,60.0,0.5
70.0,1.418,0.7053,0.012,0.017,83.566,58.939,32.468,1913.65,70.0,0.5
72.0,1.432,0.6983,0.0116,0.0166,86.409,60.34,33.351,2012.35,72.0,0.5
80.0,1.49,0.671,0.0102,0.0152,98.068,65.802,36.848,2424.65,80.0,0.5
84.0,1.52,0.6577,0.00961,0.0146,104.074,68.453,38.576,2640.67,84.0,0.5
90.0,1.567,0.6383,0.00883,0.0138,113.311,72.331,41.145,2976.08,90.0,0.5
96.0,1.614,0.6195,0.00814,0.0131,122.829,76.095,43.685,3324.19,96.0,0.5
100.0,1.647,0.6073,0.00773,0.0127,129.334,78.543,45.361,3562.8,100.0,0.5
1.0,1.008,0.9926,1.0,1.0075,1.0,0.993,0.0,0.0,1.0,0.75
2.0,1.015,0.9852,0.4981,0.5056,2.008,1.978,0.499,0.987,2.0,0.75
3.0,1.023,0.9778,0.3308,0.3383,3.023,2.956,0.996,2.943,3.0,0.75
4.0,1.03,0.9706,0.2472,0.2547,4.045,3.926,1.492,5.857,4.0,0.75
5.0,1.038,0.9633,0.197,0.2045,5.076,4.889,1.986,9.712,5.0,0.75
6.0,1.046,0.9562,0.1636,0.1711,6.114,5.846,2.479,14.494,6.0,0.75
7.0,1.054,0.949,0.1397,0.1472,7.16,6.795,2.971,20.187,7.0,0.75
8.0,1.062,0.942,0.1218,0.1293,8.213,7.737,3.462,26.785,8.0,0.75
9.0,1.07,0.935,0.1078,0.1153,9.275,8.672,3.951,34.265,9.0,0.75
10.0,1.078,0.928,0.0967,0.1042,10.344,9.6,4.44,42.619,10.0,0.75
11.0,1.086,0.9211,0.0876,0.0951,11.422,10.521,4.927,51.831,11.0,0.75
12.0,1.094,0.9142,0.08,0.0875,12.508,11.435,5.412,61.889,12.0,0.75
13.0,1.102,0.9074,0.0735,0.081,13.602,12.342,5.897,72.779,13.0,0.75
14.0,1.11,0.9007,0.068,0.0755,14.704,13.243,6.38,84.491,14.0,0.75
15.0,1.119,0.894,0.0632,0.0707,15.814,14.137,6.862,97.005,15.0,0.75
16.0,1.127,0.8873,0.0591,0.0666,16.932,15.024,7.343,110.318,16.0,0.75
17.0,1.135,0.8807,0.0554,0.0629,18.059,15.905,7.822,124.41,17.0,0.75
18.0,1.144,0.8742,0.0521,0.0596,19.195,16.779,8.3,139.273,18.0,0.75
19.0,1.153,0.8676,0.0492,0.0567,20.339,17.647,8.777,154.891,19.0,0.75
20.0,1.161,0.8612,0.0465,0.054,21.491,18.508,9.253,171.254,20.0,0.75
21.0,1.17,0.8548,0.0441,0.0516,22.653,19.363,9.727,188.352,21.0,0.75
22.0,1.179,0.8484,0.042,0.0495,23.823,20.211,10.201,206.17,22.0,0.75
23.0,1.188,0.8421,0.04,0.0475,25.001,21.053,10.673,224.695,23.0,0.75
24.0,1.196,0.8358,0.0382,0.0457,26.189,21.889,11.143,243.924,24.0,0.75
25.0,1.205,0.8296,0.0365,0.044,27.385,22.719,11.613,263.834,25.0,0.75
26.0,1.214,0.8234,0.035,0.0425,28.591,23.542,12.081,284.421,26.0,0.75
27.0,1.224,0.8173,0.0336,0.0411,29.805,24.36,12.548,305.672,27.0,0.75
28.0,1.233,0.8112,0.0322,0.0397,31.029,25.171,13.014,327.576,28.0,0.75
29.0,1.242,0.8052,0.031,0.0385,32.261,25.976,13.479,350.122,29.0,0.75
30.0,1.251,0.7992,0.0298,0.0373,33.503,26.775,13.942,373.302,30.0,0.75
36.0,1.309,0.7641,0.0243,0.0318,41.153,31.447,16.696,525.038,36.0,0.75
40.0,1.348,0.7416,0.0215,0.029,46.447,34.447,18.507,637.519,40.0,0.75
48.0,1.431,0.6986,0.0174,0.0249,57.521,40.185,22.07,886.899,48.0,0.75
50.0,1.453,0.6882,0.0166,0.0241,60.395,41.567,22.949,953.911,50.0,0.75
52.0,1.475,0.678,0.0158,0.0233,63.312,42.928,23.822,1022.64,52.0,0.75
60.0,1.566,0.6387,0.0133,0.0208,75.425,48.174,27.268,1313.59,60.0,0.75
70.0,1.687,0.5927,0.0109,0.0184,91.621,54.305,31.465,1708.68,70.0,0.75
72.0,1.713,0.5839,0.0105,0.018,95.008,55.477,32.289,1791.33,72.0,0.75
80.0,1.818,0.55,0.00917,0.0167,109.074,59.995,35.54,2132.23,80.0,0.75
84.0,1.873,0.5338,0.00859,0.0161,116.428,62.154,37.137,2308.22,84.0,0.75
90.0,1.959,0.5104,0.00782,0.0153,127.881,65.275,39.496,2578.09,90.0,0.75
96.0,2.049,0.4881,0.00715,0.0147,139.858,68.259,41.812,2854.04,96.0,0.75
100.0,2.111,0.4737,0.00675,0.0143,148.147,70.175,43.332,3040.85,100.0,0.75
1.0,1.01,0.9901,1.0,1.01,1.0,0.99,0.0,0.0,1.0,1.0
2.0,1.02,0.9803,0.4975,0.5075,2.01,1.97,0.498,0.98,2.0,1.0
3.0,1.03,0.9706,0.33,0.34,3.03,2.941,0.993,2.921,3.0,1.0
4.0,1.041,0.961,0.2463,0.2563,4.06,3.902,1.488,5.804,4.0,1.0
5.0,1.051,0.9515,0.196,0.206,5.101,4.853,1.98,9.61,5.0,1.0
6.0,1.062,0.942,0.1625,0.1725,6.152,5.795,2.471,14.32,6.0,1.0
7.0,1.072,0.9327,0.1386,0.1486,7.214,6.728,2.96,19.917,7.0,1.0
8.0,1.083,0.9235,0.1207,0.1307,8.286,7.652,3.448,26.381,8.0,1.0
9.0,1.094,0.9143,0.1067,0.1167,9.369,8.566,3.934,33.695,9.0,1.0
10.0,1.105,0.9053,0.0956,0.1056,10.462,9.471,4.418,41.843,10.0,1.0
11.0,1.116,0.8963,0.0865,0.0965,11.567,10.368,4.9,50.806,11.0,1.0
12.0,1.127,0.8874,0.0788,0.0888,12.682,11.255,5.381,60.568,12.0,1.0
13.0,1.138,0.8787,0.0724,0.0824,13.809,12.134,5.861,71.112,13.0,1.0
14.0,1.149,0.87,0.0669,0.0769,14.947,13.004,6.338,82.422,14.0,1.0
15.0,1.161,0.8613,0.0621,0.0721,16.097,13.865,6.814,94.481,15.0,1.0
16.0,1.173,0.8528,0.0579,0.0679,17.258,14.718,7.289,107.273,16.0,1.0
17.0,1.184,0.8444,0.0543,0.0643,18.43,15.562,7.761,120.783,17.0,1.0
18.0,1.196,0.836,0.051,0.061,19.615,16.398,8.232,134.995,18.0,1.0
19.0,1.208,0.8277,0.0481,0.0581,20.811,17.226,8.702,149.895,19.0,1.0
20.0,1.22,0.8195,0.0454,0.0554,22.019,18.046,9.169,165.465,20.0,1.0
21.0,1.232,0.8114,0.043,0.053,23.239,18.857,9.635,181.694,21.0,1.0
22.0,1.245,0.8034,0.0409,0.0509,24.472,19.66,10.1,198.565,22.0,1.0
23.0,1.257,0.7954,0.0389,0.0489,25.716,20.456,10.563,216.065,23.0,1.0
24.0,1.27,0.7876,0.0371,0.0471,26.973,21.243,11.024,234.179,24.0,1.0
25.0,1.282,0.7798,0.0354,0.0454,28.243,22.023,11.483,252.892,25.0,1.0
26.0,1.295,0.772,0.0339,0.0439,29.526,22.795,11.941,272.195,26.0,1.0
27.0,1.308,0.7644,0.0324,0.0424,30.821,23.56,12.397,292.069,27.0,1.0
28.0,1.321,0.7568,0.0311,0.0411,32.129,24.316,12.852,312.504,28.0,1.0
29.0,1.335,0.7493,0.0299,0.0399,33.45,25.066,13.304,333.486,29.0,1.0
30.0,1.348,0.7419,0.0287,0.0387,34.785,25.808,13.756,355.001,30.0,1.0
36.0,1.431,0.6989,0.0232,0.0332,43.077,30.107,16.428,494.62,36.0,1.0
40.0,1.489,0.6717,0.0205,0.0305,48.886,32.835,18.178,596.854,40.0,1.0
48.0,1.612,0.6203,0.0163,0.0263,61.223,37.974,21.598,820.144,48.0,1.0
50.0,1.645,0.608,0.0155,0.0255,64.463,39.196,22.436,879.417,50.0,1.0
52.0,1.678,0.5961,0.0148,0.0248,67.769,40.394,23.269,939.916,52.0,1.0
60.0,1.817,0.5504,0.0122,0.0222,81.67,44.955,26.533,1192.8,60.0,1.0
70.0,2.007,0.4983,0.00993,0.0199,100.676,50.168,30.47,1528.64,70.0,1.0
72.0,2.047,0.4885,0.00955,0.0196,104.71,51.15,31.239,1597.86,72.0,1.0
80.0,2.217,0.4511,0.00822,0.0182,121.671,54.888,34.249,1879.87,80.0,1.0
84.0,2.307,0.4335,0.00765,0.0177,130.672,56.648,35.717,2023.31,84.0,1.0
90.0,2.449,0.4084,0.0069,0.0169,144.863,59.161,37.872,2240.56,90.0,1.0
96.0,2.599,0.3847,0.00625,0.0163,159.927,61.528,39.973,2459.42,96.0,1.0
100.0,2.705,0.3697,0.00587,0.0159,170.481,63.029,41.343,2605.77,100.0,1.0
1.0,1.015,0.9852,1.0,1.015,1.0,0.985,0.0,0.0,1.0,1.5
2.0,1.03,0.9707,0.4963,0.5113,2.015,1.956,0.496,0.97,2.0,1.5
3.0,1.046,0.9563,0.3284,0.3434,3.045,2.912,0.99,2.883,3.0,1.5
4.0,1.061,0.9422,0.2444,0.2594,4.091,3.854,1.481,5.709,4.0,1.5
5.0,1.077,0.9283,0.1941,0.2091,5.152,4.783,1.97,9.422,5.0,1.5
6.0,1.093,0.9145,0.1605,0.1755,6.23,5.697,2.456,13.994,6.0,1.5
7.0,1.11,0.901,0.1366,0.1516,7.323,6.598,2.94,19.4,7.0,1.5
8.0,1.126,0.8877,0.1186,0.1336,8.433,7.486,3.422,25.614,8.0,1.5
9.0,1.143,0.8746,0.1046,0.1196,9.559,8.36,3.901,32.61,9.0,1.5
10.0,1.161,0.8617,0.0934,0.1084,10.703,9.222,4.377,40.365,10.0,1.5
11.0,1.178,0.8489,0.0843,0.0993,11.863,10.071,4.851,48.855,11.0,1.5
12.0,1.196,0.8364,0.0767,0.0917,13.041,10.907,5.322,58.054,12.0,1.5
13.0,1.214,0.824,0.0702,0.0852,14.237,11.731,5.791,67.943,13.0,1.5
14.0,1.232,0.8118,0.0647,0.0797,15.45,12.543,6.258,78.496,14.0,1.5
15.0,1.25,0.7999,0.0599,0.0749,16.682,13.343,6.722,89.694,15.0,1.5
16.0,1.269,0.788,0.0558,0.0708,17.932,14.131,7.184,101.514,16.0,1.5
17.0,1.288,0.7764,0.0521,0.0671,19.201,14.908,7.643,113.937,17.0,1.5
18.0,1.307,0.7649,0.0488,0.0638,20.489,15.673,8.1,126.94,18.0,1.5
19.0,1.327,0.7536,0.0459,0.0609,21.797,16.426,8.554,140.505,19.0,1.5
20.0,1.347,0.7425,0.0432,0.0582,23.124,17.169,9.005,154.611,20.0,1.5
21.0,1.367,0.7315,0.0409,0.0559,24.47,17.9,9.455,169.241,21.0,1.5
22.0,1.388,0.7207,0.0387,0.0537,25.837,18.621,9.902,184.375,22.0,1.5
23.0,1.408,0.71,0.0367,0.0517,27.225,19.331,10.346,199.996,23.0,1.5
24.0,1.43,0.6995,0.0349,0.0499,28.633,20.03,10.788,216.085,24.0,1.5
25.0,1.451,0.6892,0.0333,0.0483,30.063,20.72,11.227,232.626,25.0,1.5
26.0,1.473,0.679,0.0317,0.0467,31.514,21.399,11.664,249.601,26.0,1.5
27.0,1.495,0.669,0.0303,0.0453,32.987,22.068,12.099,266.995,27.0,1.5
28.0,1.517,0.6591,0.029,0.044,34.481,22.727,12.531,284.79,28.0,1.5
29.0,1.54,0.6494,0.0278,0.0428,35.999,23.376,12.961,302.972,29.0,1.5
30.0,1.563,0.6398,0.0266,0.0416,37.539,24.016,13.388,321.525,30.0,1.5
36.0,1.709,0.5851,0.0212,0.0362,47.276,27.661,15.901,439.823,36.0,1.5
40.0,1.814,0.5513,0.0184,0.0334,54.268,29.916,17.528,524.349,40.0,1.5
48.0,2.043,0.4894,0.0144,0.0294,69.565,34.042,20.666,703.537,48.0,1.5
50.0,2.105,0.475,0.0136,0.0286,73.682,35.0,21.428,749.955,50.0,1.5
52.0,2.169,0.4611,0.0128,0.0278,77.925,35.929,22.179,796.868,52.0,1.5
60.0,2.443,0.4093,0.0104,0.0254,96.214,39.38,25.093,988.157,60.0,1.5
70.0,2.835,0.3527,0.00817,0.0232,122.363,43.155,28.529,1231.15,70.0,1.5
72.0,2.921,0.3423,0.00781,0.0228,128.076,43.845,29.189,1279.78,72.0,1.5
80.0,3.291,0.3039,0.00655,0.0215,152.71,46.407,31.742,1473.06,80.0,1.5
84.0,3.493,0.2863,0.00602,0.021,166.172,47.579,32.967,1568.5,84.0,1.5
90.0,3.819,0.2619,0.00532,0.0203,187.929,49.21,34.74,1709.53,90.0,1.5
96.0,4.176,0.2395,0.00472,0.0197,211.719,50.702,36.438,1847.46,96.0,1.5
100.0,4.432,0.2256,0.00437,0.0194,228.802,51.625,37.529,1937.43,100.0,1.5
1.0,1.018,0.9828,1.0,1.0175,1.0,0.983,0.0,0.0,1.0,1.75
2.0,1.035,0.9659,0.4957,0.5132,2.018,1.949,0.496,0.966,2.0,1.75
3.0,1.053,0.9493,0.3276,0.3451,3.053,2.898,0.989,2.865,3.0,1.75
4.0,1.072,0.933,0.2435,0.261,4.106,3.831,1.478,5.664,4.0,1.75
5.0,1.091,0.9169,0.1931,0.2106,5.178,4.748,1.965,9.332,5.0,1.75
6.0,1.11,0.9011,0.1595,0.177,6.269,5.649,2.45,13.837,6.0,1.75
7.0,1.129,0.8856,0.1355,0.153,7.378,6.535,2.931,19.152,7.0,1.75
8.0,1.149,0.8704,0.1175,0.135,8.508,7.405,3.409,25.245,8.0,1.75
9.0,1.169,0.8554,0.1036,0.1211,9.656,8.261,3.885,32.088,9.0,1.75
10.0,1.189,0.8407,0.0924,0.1099,10.825,9.101,4.357,39.655,10.0,1.75
11.0,1.21,0.8263,0.0832,0.1007,,9.928,4.827,47.918,11.0,1.75
12.0,1.231,0.8121,0.0756,0.0931,13.225,10.74,5.294,56.851,12.0,1.75
13.0,1.253,0.7981,0.0692,0.0867,14.457,11.538,5.758,66.428,13.0,1.75
14.0,1.275,0.7844,0.0637,0.0812,15.71,12.322,6.219,76.625,14.0,1.75
15.0,1.297,0.7709,0.0589,0.0764,16.985,13.093,6.677,87.417,15.0,1.75
16.0,1.32,0.7576,0.0547,0.0722,18.282,13.851,7.132,98.782,16.0,1.75
17.0,1.343,0.7446,0.051,0.0685,19.602,14.595,7.584,110.695,17.0,1.75
18.0,1.367,0.7318,0.0477,0.0652,20.945,15.327,8.034,123.136,18.0,1.75
19.0,1.39,0.7192,0.0448,0.0623,22.311,16.046,8.481,136.081,19.0,1.75
20.0,1.415,0.7068,0.0422,0.0597,23.702,16.753,8.924,149.511,20.0,1.75
21.0,1.44,0.6947,0.0398,0.0573,25.116,17.448,9.365,163.405,21.0,1.75
22.0,1.465,0.6827,0.0377,0.0552,26.556,18.13,9.804,177.742,22.0,1.75
23.0,1.49,0.671,0.0357,0.0532,28.021,18.801,10.239,192.503,23.0,1.75
24.0,1.516,0.6594,0.0339,0.0514,29.511,19.461,10.671,207.671,24.0,1.75
25.0,1.543,0.6481,0.0322,0.0497,31.028,20.109,11.101,223.225,25.0,1.75
26.0,1.57,0.6369,0.0307,0.0482,32.571,20.746,11.528,239.149,26.0,1.75
27.0,1.597,0.626,0.0293,0.0468,34.141,21.372,11.952,255.425,27.0,1.75
28.0,1.625,0.6152,0.028,0.0455,35.738,21.987,12.373,272.036,28.0,1.75
29.0,1.654,0.6046,0.0268,0.0443,37.363,22.592,12.791,288.967,29.0,1.75
30.0,1.683,0.5942,0.0256,0.0431,39.017,23.186,13.206,306.2,30.0,1.75
36.0,1.867,0.5355,0.0202,0.0377,49.566,26.543,15.64,415.13,36.0,1.75
40.0,2.002,0.4996,0.0175,0.035,57.234,28.594,17.207,492.017,40.0,1.75
48.0,2.3,0.4349,0.0135,0.031,74.263,32.294,20.209,652.612,48.0,1.75
50.0,2.381,0.42,0.0127,0.0302,78.903,33.141,20.932,693.708,50.0,1.75
52.0,2.465,0.4057,0.0119,0.0294,83.706,33.96,21.644,735.039,52.0,1.75
60.0,2.832,0.3531,0.00955,0.0271,104.676,36.964,24.389,901.503,60.0,1.75
70.0,3.368,0.2969,0.00739,0.0249,135.331,40.178,27.586,1108.34,70.0,1.75
72.0,3.487,0.2868,0.00704,0.0245,142.127,40.757,28.195,1149.12,72.0,1.75
80.0,4.006,0.2496,0.00582,0.0233,171.795,42.88,30.533,1309.25,80.0,1.75
